         2100186 function calls (2097893 primitive calls) in 1.131 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 signal.py:1(<module>)
      256    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
        1    0.000    0.000    0.002    0.002 defchararray.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ntpath.py:2(<module>)
        3    0.000    0.000    0.002    0.001 enum.py:528(_convert_)
        1    0.000    0.000    0.002    0.002 parse.py:1(<module>)
       92    0.002    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.002    0.002 _version.py:7(<module>)
     1454    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
      142    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
       73    0.000    0.000    0.002    0.000 enum.py:358(__call__)
     4037    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      114    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      114    0.002    0.000    0.002    0.000 {built-in method io.open_code}
        3    0.000    0.000    0.002    0.001 enum.py:475(_create_)
      460    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      155    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:156(__enter__)
        1    0.000    0.000    0.002    0.002 core.py:1(<module>)
     7369    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        8    0.001    0.000    0.002    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
     1638    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
     1786    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      184    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      198    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
   285/85    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      460    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:112(release)
        4    0.001    0.000    0.001    0.000 enum.py:179(__new__)
      314    0.000    0.000    0.001    0.000 function_base.py:461(_add_docstring)
5329/5078    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       14    0.000    0.000    0.001    0.000 core.py:114(doc_note)
      228    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2362    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 npyio.py:1(<module>)
      434    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
      665    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x556c024d6740}
      142    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        2    0.000    0.000    0.001    0.000 polynomial.py:1(<module>)
       55    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       30    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
     2070    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       28    0.000    0.000    0.001    0.000 inspect.py:626(cleandoc)
       24    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
       23    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      155    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:160(__exit__)
     4112    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.001    0.001    0.001    0.001 parse.py:147(_NetlocResultMixinBase)
